"biceps","bone","caliper1","caliper2","caliper3","calories","chest","comment","dateTime","fat","hip","lbm","muscle","neck","thigh","visceralFat","waist","water","weight"
0.0,3.4370036,0.0,0.0,0.0,0.0,0.0,"","2022-11-30 09:50",37.196003,0.0,0.0,59.600822,0.0,0.0,17.515043,0.0,44.842052,107.3
0.0,3.4533653,0.0,0.0,0.0,0.0,0.0,"","2022-11-29 08:05",37.36735,0.0,0.0,59.438053,0.0,0.0,17.616926,0.0,44.71971,108.1
0.0,3.4331455,0.0,0.0,0.0,0.0,0.0,"","2022-11-27 08:42",37.265717,0.0,0.0,59.53471,0.0,0.0,17.515043,0.0,44.79228,107.3
0.0,3.4283383,0.0,0.0,0.0,0.0,0.0,"","2022-11-26 11:31",37.294132,0.0,0.0,59.507793,0.0,0.0,17.502308,0.0,44.771988,108.0
0.0,3.4283383,0.0,0.0,0.0,0.0,0.0,"","2022-11-26 10:45",37.294132,0.0,0.0,59.507793,0.0,0.0,17.502308,0.0,44.771988,107.8
0.0,3.4283383,0.0,0.0,0.0,0.0,0.0,"","2022-11-25 08:35",37.294132,0.0,0.0,59.507793,0.0,0.0,17.502308,0.0,44.771988,107.2
0.0,3.4278429,0.0,0.0,0.0,0.0,0.0,"","2022-11-24 11:01",37.1859,0.0,0.0,59.61051,0.0,0.0,17.476837,0.0,44.849266,107.0
0.0,3.422582,0.0,0.0,0.0,0.0,0.0,"","2022-11-24 08:57",37.281227,0.0,0.0,59.520096,0.0,0.0,17.476837,0.0,44.781204,107.0
0.0,3.4398096,0.0,0.0,0.0,0.0,0.0,"","2022-11-23 09:12",37.14531,0.0,0.0,59.648903,0.0,0.0,17.515043,0.0,44.87825,107.3
0.0,3.4551601,0.0,0.0,0.0,0.0,0.0,"","2022-11-22 08:38",37.50859,0.0,0.0,59.303993,0.0,0.0,17.655132,0.0,44.618862,108.4
0.0,3.4774835,0.0,0.0,0.0,0.0,0.0,"","2022-11-19 11:48",37.570065,0.0,0.0,59.245426,0.0,0.0,17.757015,0.0,44.574974,109.2
0.0,3.4777315,0.0,0.0,0.0,0.0,0.0,"","2022-11-18 10:59",37.62279,0.0,0.0,59.19539,0.0,0.0,17.76975,0.0,44.537327,109.3
0.0,3.4535098,0.0,0.0,0.0,0.0,0.0,"","2022-11-18 10:58",37.48043,0.0,0.0,59.330734,0.0,0.0,17.642397,0.0,44.638973,109.6
0.0,3.4535098,0.0,0.0,0.0,0.0,0.0,"","2022-11-17 10:58",37.48043,0.0,0.0,59.330734,0.0,0.0,17.642397,0.0,44.638973,108.3
0.0,3.4595132,0.0,0.0,0.0,0.0,0.0,"","2022-11-16 12:56",37.545956,0.0,0.0,59.26849,0.0,0.0,17.680603,0.0,44.592186,108.6
0.0,3.458564,0.0,0.0,0.0,0.0,0.0,"","2022-11-13 09:21",37.50536,0.0,0.0,59.307026,0.0,0.0,17.667868,0.0,44.62117,108.5
0.0,3.4504974,0.0,0.0,0.0,0.0,0.0,"","2022-11-12 09:43",37.6495,0.0,0.0,59.170315,0.0,0.0,17.667868,0.0,44.518253,108.5
0.0,3.4384892,0.0,0.0,0.0,0.0,0.0,"","2022-11-10 09:09",37.518547,0.0,0.0,59.294716,0.0,0.0,17.591455,0.0,44.611755,107.9
0.0,3.4520442,0.0,0.0,0.0,0.0,0.0,"","2022-11-09 11:50",37.73663,0.0,0.0,59.08762,0.0,0.0,17.693338,0.0,44.456043,108.7
0.0,3.4379938,0.0,0.0,0.0,0.0,0.0,"","2022-11-07 12:43",37.411434,0.0,0.0,59.39637,0.0,0.0,17.565985,0.0,44.688236,107.7
0.0,3.3946877,0.0,0.0,0.0,0.0,0.0,"","2022-11-06 08:35",37.494564,0.0,0.0,59.317936,0.0,0.0,31.452248,0.0,44.62888,106.5
0.0,3.4258213,0.0,0.0,0.0,0.0,0.0,"","2022-11-02 08:30",37.572594,0.0,0.0,59.24356,0.0,0.0,17.55325,0.0,44.573166,107.6
0.0,3.423882,0.0,0.0,0.0,0.0,0.0,"","2022-10-29 08:05",37.31625,0.0,0.0,59.486847,0.0,0.0,17.489573,0.0,44.756195,107.1
0.0,3.4325888,0.0,0.0,0.0,0.0,0.0,"","2022-10-28 10:57",37.39247,0.0,0.0,59.41442,0.0,0.0,17.540514,0.0,44.70177,107.5
0.0,3.4113169,0.0,0.0,0.0,0.0,0.0,"","2022-10-27 08:04",37.30957,0.0,0.0,59.49332,0.0,0.0,31.553947,0.0,44.760967,106.7
0.0,3.4113169,0.0,0.0,0.0,0.0,0.0,"","2022-10-27 08:03",37.30957,0.0,0.0,59.49332,0.0,0.0,31.553947,0.0,44.760967,106.7
0.0,3.4113169,0.0,0.0,0.0,0.0,0.0,"","2022-10-26 10:05",37.30957,0.0,0.0,59.49332,0.0,0.0,31.553947,0.0,44.760967,106.7
0.0,3.4167228,0.0,0.0,0.0,0.0,0.0,"","2022-10-25 10:36",37.328823,0.0,0.0,59.47499,0.0,0.0,17.464102,0.0,44.74722,106.9
0.0,3.4231803,0.0,0.0,0.0,0.0,0.0,"","2022-10-24 09:30",37.328953,0.0,0.0,59.4748,0.0,0.0,17.489573,0.0,44.747128,107.1
0.0,3.4483101,0.0,0.0,0.0,0.0,0.0,"","2022-10-23 09:46",37.34209,0.0,0.0,59.46207,0.0,0.0,17.591455,0.0,44.737743,107.9
0.0,3.4372926,0.0,0.0,0.0,0.0,0.0,"","2022-10-23 08:22",37.424057,0.0,0.0,59.384396,0.0,0.0,17.565985,0.0,44.67922,107.7
0.0,3.4328358,0.0,0.0,0.0,0.0,0.0,"","2022-10-22 10:49",37.4462,0.0,0.0,59.363434,0.0,0.0,17.55325,0.0,44.66341,107.6
0.0,3.4109662,0.0,0.0,0.0,0.0,0.0,"","2022-10-21 08:52",37.31594,0.0,0.0,59.487278,0.0,0.0,31.553947,0.0,44.756416,106.7
0.0,3.4127407,0.0,0.0,0.0,0.0,0.0,"","2022-10-20 10:46",36.869537,0.0,0.0,59.910892,0.0,0.0,31.197998,0.0,45.07515,106.0
0.0,3.4099758,0.0,0.0,0.0,0.0,0.0,"","2022-10-20 08:53",37.098133,0.0,0.0,59.693985,0.0,0.0,31.350552,0.0,44.911934,106.3
0.0,3.4384687,0.0,0.0,0.0,0.0,0.0,"","2022-10-19 13:07",36.934437,0.0,0.0,59.849037,0.0,0.0,17.464102,0.0,45.02881,106.9
0.0,3.4446173,0.0,0.0,0.0,0.0,0.0,"","2022-10-18 08:44",37.117046,0.0,0.0,59.675674,0.0,0.0,17.527779,0.0,44.898426,107.4
0.0,3.4234278,0.0,0.0,0.0,0.0,0.0,"","2022-10-17 09:01",37.382935,0.0,0.0,59.42357,0.0,0.0,17.502308,0.0,44.70858,107.2
0.0,3.4300508,0.0,0.0,0.0,0.0,0.0,"","2022-10-16 10:15",37.0871,0.0,0.0,59.704247,0.0,0.0,17.464102,0.0,44.919807,106.9
0.0,3.4382005,0.0,0.0,0.0,0.0,0.0,"","2022-10-15 08:31",37.291264,0.0,0.0,59.510414,0.0,0.0,17.540514,0.0,44.774036,107.5
0.0,3.4420998,0.0,0.0,0.0,0.0,0.0,"","2022-10-15 08:30",37.395657,0.0,0.0,59.411304,0.0,0.0,17.57872,0.0,44.6995,107.5
0.0,3.4420998,0.0,0.0,0.0,0.0,0.0,"","2022-10-15 07:51",37.395657,0.0,0.0,59.411304,0.0,0.0,17.57872,0.0,44.6995,107.8
0.0,3.4420998,0.0,0.0,0.0,0.0,0.0,"","2022-10-15 07:40",37.395657,0.0,0.0,59.411304,0.0,0.0,17.57872,0.0,44.6995,107.8
0.0,3.4582343,0.0,0.0,0.0,0.0,0.0,"","2022-10-14 09:59",37.105484,0.0,0.0,59.68651,0.0,0.0,17.57872,0.0,44.906685,107.8
0.0,3.4492588,0.0,0.0,0.0,0.0,0.0,"","2022-10-14 07:47",37.38307,0.0,0.0,59.423172,0.0,0.0,17.60419,0.0,44.708485,108.0
0.0,3.4492588,0.0,0.0,0.0,0.0,0.0,"","2022-10-14 07:46",37.38307,0.0,0.0,59.423172,0.0,0.0,17.60419,0.0,44.708485,108.0
0.0,3.4338882,0.0,0.0,0.0,0.0,0.0,"","2022-10-13 07:45",37.427242,0.0,0.0,59.381416,0.0,0.0,17.55325,0.0,44.67695,107.6
0.0,3.438448,0.0,0.0,0.0,0.0,0.0,"","2022-10-12 08:45",37.34509,0.0,0.0,59.45933,0.0,0.0,17.55325,0.0,44.735603,107.5
0.0,3.438448,0.0,0.0,0.0,0.0,0.0,"","2022-10-12 08:44",37.34509,0.0,0.0,59.45933,0.0,0.0,17.55325,0.0,44.735603,107.6
0.0,3.4395003,0.0,0.0,0.0,0.0,0.0,"","2022-10-11 08:10",37.326126,0.0,0.0,59.477314,0.0,0.0,17.55325,0.0,44.749146,107.6
0.0,3.4385924,0.0,0.0,0.0,0.0,0.0,"","2022-10-11 07:34",37.458736,0.0,0.0,59.351475,0.0,0.0,17.57872,0.0,44.65446,107.8
0.0,3.4326918,0.0,0.0,0.0,0.0,0.0,"","2022-10-11 07:33",37.33232,0.0,0.0,59.4715,0.0,0.0,17.527779,0.0,44.74472,108.0
0.0,3.4326918,0.0,0.0,0.0,0.0,0.0,"","2022-10-11 04:32",37.33232,0.0,0.0,59.4715,0.0,0.0,17.527779,0.0,44.74472,107.4
0.0,3.4326918,0.0,0.0,0.0,0.0,0.0,"","2022-10-11 04:31",37.33232,0.0,0.0,59.4715,0.0,0.0,17.527779,0.0,44.74472,107.4
0.0,3.4246247,0.0,0.0,0.0,0.0,0.0,"","2022-10-10 06:21",37.477947,0.0,0.0,59.333385,0.0,0.0,17.527779,0.0,44.640747,107.4
0.0,3.444442,0.0,0.0,0.0,0.0,0.0,"","2022-10-09 05:09",37.411587,0.0,0.0,59.396156,0.0,0.0,17.441456,0.0,44.688126,107.9
0.0,3.4297314,0.0,0.0,0.0,0.0,0.0,"","2022-10-08 07:53",37.268936,0.0,0.0,59.531685,0.0,0.0,17.352308,0.0,44.789978,107.2
0.0,3.4330323,0.0,0.0,0.0,0.0,0.0,"","2022-10-08 07:52",37.326176,0.0,0.0,59.477337,0.0,0.0,17.377779,0.0,44.74911,107.4
0.0,3.4262235,0.0,0.0,0.0,0.0,0.0,"","2022-10-08 04:31",37.33238,0.0,0.0,59.47152,0.0,0.0,17.352308,0.0,44.744682,107.2
0.0,3.4181154,0.0,0.0,0.0,0.0,0.0,"","2022-10-07 07:22",37.303562,0.0,0.0,59.498947,0.0,0.0,17.314102,0.0,44.765255,107.1
